scripCode,companyName,change,change,change
500104,HINDUSTAN PETROLEUM CORPORATION LTD.,-8.7,8.4,-20.3
500103,BHARAT HEAVY ELECTRICALS LTD.,2.4,5.25,-9
532648,YES BANK LTD.,-0.16,-0.5,-1.06
532822,Vodafone Idea Ltd,0.18,-0.06,-0.62
532286,JINDAL STEEL & POWER LTD.,3.95,1.4,11.7
500850,INDIAN HOTELS CO.LTD.,5.85,5.8,8.4
517334,Samvardhana Motherson International Ltd,-1.2,0.35,-0.35
542830,Indian Railway Catering and Tourism Corporation Ltd,2.7,4.8,-25.2
540755,General Insurance Corporation of India,-11.35,-16.2,18.5
540133,ICICI Prudential Life Insurance Company Ltd,5.35,7.1,-1.9
500480,CUMMINS INDIA LTD.,-22,-32.25,-20.7
532814,INDIAN BANK,-3.45,-5.2,1.25
532505,UCO BANK,-0.14,-1.15,0.09
500257,LUPIN LTD.,-21,1.55,10.7
526371,NMDC LTD.,-2,-5.3,-8.45
540762,Tube Investments of India Ltd,10.5,-3.1,-53.9
542652,Polycab India Ltd,-3,-38.2,-9.1
500830,COLGATE-PALMOLIVE (INDIA) LTD.,-45.15,-37.2,2.5
503806,SRF LTD.,-7.9,37.2,15.1
543066,SBI Cards and Payment Services Ltd,8.4,11.3,-0.25
532777,INFO EDGE (INDIA) LTD.,28.05,-16.9,-88.6
531642,MARICO LTD.,4.3,9.6,2.8
532466,ORACLE FINANCIAL SERVICES SOFTWARE LTD.,-29.1,-15.3,-60.95
533179,PERSISTENT SYSTEMS LTD.,-18.85,-35.7,-175.35
500093,CG Power and Industrial Solutions Ltd,-1.7,0.7,-11.95
539523,Alkem Laboratories Ltd,-93.3,-69.25,6.75
532149,BANK OF INDIA,0.55,-0.75,-0.95
509480,BERGER PAINTS INDIA LTD.,3.3,6.8,8.4
533106,OIL INDIA LTD.,-13.4,10.25,-19.65
533150,Godrej Properties Ltd,37.45,20.55,41.15
500290,MRF LTD.,-649.25,-146.25,956.3
500488,ABBOTT INDIA LTD.,-312.35,-339.85,-73.25
532667,SUZLON ENERGY LTD.,0.27,-0.35,-1.08
531344,CONTAINER CORPORATION OF INDIA LTD.,-9.1,-11.05,-6.2
524804,AUROBINDO PHARMA LTD.,4.2,12.2,-11.7
500368,Patanjali Foods Ltd,-44.85,-27.7,-11.3
534816,Indus Towers Ltd,-0.75,-1.9,-1.85
532725,SOLAR INDUSTRIES INDIA LTD.,-23.05,-45.05,115.5
532885,CENTRAL BANK OF INDIA,-0.49,-1.14,0.05
539437,IDFC First Bank Ltd,-0.31,-0.42,-0.83
540115,L&T Technology Services Ltd,-32.9,-35.05,-131.15
532779,TORRENT POWER LTD.,-19.8,-29.85,-24
523642,PI Industries Ltd,-2,18.55,-2
532754,GMR Airports Infrastructure Ltd,-0.08,-1.4,-4.47
542649,Rail Vikas Nigam Ltd,-1.9,1.05,-6.65
533398,MUTHOOT FINANCE LTD.,-4.95,-17.7,-14.6
590024,FERTILIZERS & CHEMICALS TRAVANCORE LTD.,0.7,1.4,7.5
500459,PROCTER & GAMBLE HYGIENE & HEALTH CARE LTD.,10.15,46.95,181.75
500113,STEEL AUTHORITY OF INDIA LTD.,-0.8,1.95,0
532830,Astral Ltd,-0.65,-15.7,-21.2
526299,MPHASIS LTD.,-6.9,-13.7,-116.05
500493,BHARAT FORGE LTD.,-16.8,-3.5,2.9
532508,JINDAL STAINLESS LTD.,10.8,7.55,-4.75
500483,TATA COMMUNICATIONS LTD.,10.55,6,-27.15
509930,SUPREME INDUSTRIES LTD.,-31.8,-2.4,-98.3
500477,ASHOK LEYLAND LTD.,1.9,1,-1.85
500109,MANGALORE REFINERY & PETROCHEMICALS LTD.,-13.2,-14.3,-21.2
500410,ACC LTD.,38.25,18.4,-22.55
503100,The Phoenix Mills Ltd,6,40.3,72.65
533206,SJVN Ltd,-2.45,-3.2,-2.2
523457,Linde India Limited,-44.05,-88.55,-67.05
543994,JSW Infrastructure Ltd,7.35,5.9,-6
540769,The New India Assurance Company Ltd,-14.15,-16.85,1.25
500408,TATA ELXSI LTD.,-15.5,78,-44.3
540691,Aditya Birla Capital Ltd,-0.4,-0.75,-1.4
544026,Indian Renewable Energy Development Agency Ltd,-0.8,-3.2,-8.75
543458,Adani Wilmar Ltd,7.35,3.25,-8.8
533273,OBEROI REALTY LTD.,9.85,9.4,11.75
505790,Schaeffler India Ltd,-35.9,-111.4,-34.55
532478,UNITED BREWERIES LTD.-$,-28.95,-37.2,-9.8
533274,PRESTIGE ESTATES PROJECTS LTD.,-16.45,0.6,21.5
533295,PUNJAB & SIND BANK,-0.18,-1.51,0.71
544028,Tata Technologies Ltd,36.1,28.75,3.95
543390,PB Fintech Ltd,-13.6,-5.5,-20.9
590071,SUNDARAM FINANCE LTD.,88.05,69.95,38.55
502355,BALKRISHNA INDUSTRIES LTD.-$,-30.8,-28.3,-36.7
542651,KPIT Technologies Ltd,-9.65,-12.35,-53.85
532525,BANK OF MAHARASHTRA,-0.14,-0.99,-0.62
543384,FSN E-Commerce Ventures Ltd,-0.9,-0.85,-1.2
543237,Mazagon Dock Shipbuilders Ltd,-27.65,-28.5,-55.4
533519,L&T FINANCE HOLDINGS LTD.,-1.3,-0.9,-3.95
532522,PETRONET LNG LTD.,-1.1,-1.55,-0.65
532541,Coforge Ltd,-120.95,-93.7,-114.5
500411,THERMAX LTD.,34.8,25.25,34.85
532827,PAGE INDUSTRIES LTD.,-425.2,-243.55,-124.15
540699,Dixon Technologies (India) Ltd,5.55,-48.3,24.4
532947,IRB INFRASTRUCTURE DEVELOPERS LTD.,-0.85,-0.68,-0.2
540611,AU Small Finance Bank Ltd,5.65,1.55,-11.75
533758,APL APOLLO TUBES LTD.,-20.95,8.4,-5.85
500469,FEDERAL BANK LTD.,-9.4,-8.7,-0.55
542216,Dalmia Bharat Ltd,-12.9,-18.95,2.4
540530,Housing & Urban Development Corporation Ltd,2.3,5.75,-2.8
543278,Kalyan Jewellers India Ltd,-6.6,-9.5,11.25
500660,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,24.45,39.5,-51
542812,Gujarat Fluorochemicals Ltd,94.1,43.95,14.55
512070,UPL Limited,1.85,1.15,-6.55
539336,Gujarat Gas Ltd,-0.95,3.65,11.1
543654,Global Health Ltd,23.35,6.1,25.15
532539,UNO Minda Ltd-$,-5.3,-5.75,-5.2
532683,AIA ENGINEERING LTD.,-44.75,-49.5,-82.4
500092,CRISIL LTD.,118.7,-2.6,30.4
524000,Poonawalla Fincorp Ltd,-2.35,-4.5,-8.5
500575,VOLTAS LTD.,0.95,7.75,1.8
543300,Sona BLW Precision Forgings Ltd,29.9,24.85,-26.85
532720,MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD.,-0.05,1.75,-1.2
532523,BIOCON LTD.,-5.85,-9.25,-7.5
500253,LIC HOUSING FINANCE LTD.,-4.35,4.75,2.4
513683,NLC India Ltd,2.65,3.8,-9.1
523395,3M INDIA LTD.,259.8,480.15,-339.4
543529,Delhivery Ltd,5,4.05,0.2
500271,Max Financial Services Ltd,-12.65,-16,-11.15
500877,APOLLO TYRES LTD.,-12.15,-13.5,-2
517174,HONEYWELL AUTOMATION INDIA LTD.,-407,-886.15,431.65
540680,KIOCL Ltd,-11.6,-20.3,-21.05
543245,Gland Pharma Ltd,-49.55,-35.35,-15.6
543412,Star Health and Allied Insurance Company Ltd,4,2.7,-2.15
541153,Bandhan Bank Ltd,0.05,-1,-2.25
532843,FORTIS HEALTHCARE LTD.,7.25,9.3,3.05
500495,Escorts Kubota Ltd,-47.85,-32.35,-12.3
533155,Jubilant FoodWorks Ltd,17.75,12.45,-13.15
532644,J.K.CEMENT LTD.,-37.45,-4.05,47.05
506395,COROMANDEL INTERNATIONAL LTD.,-16.1,-9.2,-11.4
541143,Bharat Dynamics Ltd,-18.75,-13.9,-46.3
543498,Motherson Sumi Wiring India Ltd,-1.6,-1.35,-1.65
543426,Metro Brands Ltd,-24.25,-28,-31.65
540767,Nippon Life India Asset Management Ltd,-3.7,-7.65,2.85
523610,ITI LTD.,-1.05,-2.05,-10.45
570001,Tata Motors  Ltd - DVR,-1.65,-0.6,-1.75
506401,DEEPAK NITRITE LTD.-$,21.5,75.15,-30.55
524494,IPCA LABORATORIES LTD.,-13.8,9.3,-17.8
532514,INDRAPRASTHA GAS LTD.,-1.85,-0.25,-1.85
539268,Syngene International Ltd,-7.55,-4.9,-9.6
517569,KEI INDUSTRIES LTD.,-6.7,14.5,-78.45
532234,NATIONAL ALUMINIUM CO.LTD.,1.15,0.15,-2.8
512455,LLOYDS METALS AND ENERGY LTD.,0.35,-0.9,-0.95
501301,TATA INVESTMENT CORPORATION LTD.,139.7,131.4,627.05
533023,ZF Commercial Vehicle Control Systems India Ltd,-35.55,-102.85,-581.3
500086,EXIDE INDUSTRIES LTD.,-7.95,-6.05,-4.35
532605,JBM AUTO LTD.,-74.7,-88.9,15.25
539551,Narayana Hrudayalaya Ltd,7.65,6.1,-4.2
506285,BAYER CROPSCIENCE LTD.,-32.3,-9.4,-19.6
500164,GODREJ INDUSTRIES LTD.,7.3,5.3,-10.1
543235,Angel One Ltd,-8.3,-80.1,-64.3
532331,AJANTA PHARMA LTD.,-11.75,-26.45,2.55
543187,Hitachi Energy India Ltd,28.25,-109.5,-245.3
500067,BLUE STAR LTD.,10.1,16,-13.55
532892,MOTILAL OSWAL FINANCIAL SERVICES LTD.,15.8,1.75,-75.1
506943,J.B.CHEMICALS & PHARMACEUTICALS LTD.,-18.75,-4.15,23.05
540153,Endurance Technologies Ltd,0.85,11.95,6.2
534309,NBCC (India) Ltd,2.1,1.25,-3.25
541179,ICICI Securities Ltd,13.9,11.85,15.2
500840,EIH LTD.,15.5,-4.4,0.65
542772,360 ONE WAM LTD,-5.45,2.3,9.25
532259,APAR INDUSTRIES LTD.,39.95,-19.6,-93.4
524208,AARTI INDUSTRIES LTD.,2.15,14.95,-17.2
500165,KANSAI NEROLAC PAINTS LTD.,1.15,1.8,-2.95
500770,TATA CHEMICALS LTD.,2,5.35,-6.2
532889,K.P.R. Mill Limited,-1.4,-5.5,-3.3
531531,HATSUN AGRO PRODUCT LTD.,5.3,7.95,-17.55
513599,HINDUSTAN COPPER LTD.,-1.05,-5.05,-4.35
532733,SUN TV NETWORK LTD.,-1.95,2.45,-12.15
541770,CreditAccess Grameen Ltd,-21.15,-31.9,-30.5
532296,GLENMARK PHARMACEUTICALS LTD.,26.1,31.4,6.4
543463,Vedant Fashions Ltd,-4.85,-13.4,2.7
506076,GRINDWELL NORTON LTD.-$,-11.35,-18.25,3.25
532221,SONATA SOFTWARE LTD.,-10.05,-21.3,11.85
532636,IIFL Finance Ltd,-1.1,-11,1.55
540975,Aster DM Healthcare Ltd,5.6,9.2,-0.6
532929,BRIGADE ENTERPRISES LTD.,-7.6,-11.9,20.05
532497,RADICO KHAITAN LTD.,-9.45,-16.25,-43.85
500403,SUNDRAM FASTENERS LTD.,4.9,-1.35,16.8
532175,Cyient Limited,-19.25,-57.6,-49.3
532400,Birlasoft Ltd,-22.4,-24.65,-11.55
521064,TRIDENT LTD.,-0.51,-0.59,-0.79
543396,One 97 Communications Ltd,17.9,17.9,18.8
540678,Cochin Shipyard Ltd,-3.2,-7.6,-12.45
535755,Aditya Birla Fashion and Retail Ltd,-1.25,-0.6,-7.85
540222,Laurus Labs Ltd,-6.25,-4.9,-5.75
500472,SKF India Ltd,51.4,70.55,76.35
541956,IRCON International Ltd,-0.3,-0.8,-2.7
543663,Five-Star Business Finance Ltd,-10.65,-20.8,-1
520111,RATNAMANI METALS & TUBES LTD.-$,-16.6,-17.65,-4.5
507815,GILLETTE INDIA LTD.,-38.2,-90.1,-2.45
522113,TIMKEN INDIA LTD.,1.9,-15.25,6.65
500674,Sanofi India Ltd,-23.5,-52.45,66.25
531162,EMAMI LTD.-$,-5.95,-7.95,0.55
500680,PFIZER LTD.,28.1,7.35,-98.35
500870,CASTROL INDIA LTD.,-4.4,-5.5,-5.15
532702,GUJARAT STATE PETRONET LTD.,-9.2,-8.1,11.05
539524,Dr. Lal PathLabs Ltd,-55.2,-30.55,-43.65
530517,RELAXO FOOTWEARS LTD.-$,0.2,-4.65,6.95
500260,The Ramco Cements Limited,1.95,2.85,-13.75
513375,CARBORUNDUM UNIVERSAL LTD.,12.8,7.9,-14.85
539083,Inox Wind Ltd,-19.5,-7,-23.5
504973,Cholamandalam Financial Holdings Ltd,2.1,-18.9,-15.1
500233,KAJARIA CERAMICS LTD.,-18.6,-22.25,4.7
522074,ELGI EQUIPMENTS LTD.,23.15,0.85,14.55
500302,PIRAMAL ENTERPRISES LTD.,-3,-2.85,35.9
543330,Devyani International Ltd,-0.25,0.6,1.3
533573,ALEMBIC PHARMACEUTICALS LTD.,7.75,42.15,27.3
522275,GE T&D India Ltd,-1.4,19.65,-9.25
531595,Capri Global Capital Limited,-5.05,-3.4,13.95
540173,PNB Housing Finance Ltd,8.3,-3.85,-16.3
503310,SWAN ENERGY LTD.,9.15,19.3,-40
543990,Signatureglobal (India) Ltd,-10.55,0.2,-15.5
524816,NATCO PHARMA LTD.,6.95,-22.45,-14.2
