SecurityCode,companyName,marketCapFull
511243,Cholamandalam Investment and Finance Company Ltd,"94,919.69 Cr."
533098,NHPC LTD.,"97,446.88 Cr."
511218,Shriram Finance Ltd,"91,553.99 Cr."
532321,Zydus Lifesciences Ltd,"91,887.89 Cr."
543904,Mankind Pharma Ltd,"88,930.63 Cr."
500420,TORRENT PHARMACEUTICALS LTD.,"88,262.61 Cr."
517354,HAVELLS INDIA LTD.,"88,189.97 Cr."
543220,Max Healthcare Institute Ltd,"82,019.99 Cr."
532648,YES BANK LTD.,"77,948.63 Cr."
532432,UNITED SPIRITS LTD.,"84,045.39 Cr."
500530,BOSCH LTD.,"85,726.21 Cr."
500104,HINDUSTAN PETROLEUM CORPORATION LTD.,"78,672.69 Cr."
