SecurityCode,companyName,currentValue,change,pChange,updatedOn,securityID,group,faceValue,industry,previousClose,previousOpen,dayHigh,dayLow,52weekHigh,52weekLow,weightedAvgPrice,totalTradedValue,totalTradedQuantity,2WeekAvgQuantity,marketCapFull,marketCapFreeFloat
532500,MARUTI SUZUKI INDIA LTD.,11070,43.15,0.39,15 Feb 24 | 04:01 PM,MARUTI,A  / S&P BSE SENSEX,5,Automobile and Auto Components,11026.85,11027.05,11134,10981.85,11134,8127.05,11055.66,6.18 Cr.,0.06 Lakh,0.15 Lakh,348043.65,"1,53,139.21 Cr."
500247,KOTAK MAHINDRA BANK LTD.,1739.45,-8.65,-0.49,15 Feb 24 | 04:01 PM,KOTAKBANK,A  / S&P BSE SENSEX,5,Financial Services,1748.1,1757.95,1757.95,1721,2063,1644.2,1733.42,5.35 Cr.,0.31 Lakh,1.26 Lakh,345784.39,"2,55,880.45 Cr."
532215,AXIS BANK LTD.,1072.6,-23.15,-2.11,15 Feb 24 | 04:01 PM,AXISBANK,A  / S&P BSE SENSEX,2,Financial Services,1095.75,1099.85,1099.85,1068.95,1151.5,814.25,1076.92,131.69 Cr.,12.23 Lakh,2.47 Lakh,330883.61,"2,97,795.25 Cr."
532555,NTPC LTD.,339.65,11.75,3.58,15 Feb 24 | 04:01 PM,NTPC,A  / S&P BSE SENSEX,10,Power,327.9,330.95,341,330.5,341.05,164.3,335.53,16.05 Cr.,4.78 Lakh,8.40 Lakh,329347.27,"1,61,380.16 Cr."
500114,Titan Company Limited,3615.2,28.65,0.8,15 Feb 24 | 04:01 PM,TITAN,A  / S&P BSE SENSEX,1,Consumer Durables,3586.55,3595.4,3630,3570.6,3885,2320,3598.5,7.84 Cr.,0.22 Lakh,0.33 Lakh,320952.45,"1,50,847.65 Cr."
500570,TATA MOTORS LTD.,920.2,1.9,0.21,15 Feb 24 | 04:01 PM,TATAMOTORS,A  / S&P BSE SENSEX,2,Automobile and Auto Components,918.3,924.7,927,916.5,949.6,400.4,921.45,40.74 Cr.,4.42 Lakh,8.35 Lakh,305805.62,"1,62,076.98 Cr."
541450,Adani Green Energy Ltd,1900.55,47.85,2.58,15 Feb 24 | 04:01 PM,ADANIGREEN,A  / S&P BSE 200,10,Power,1852.7,1870.3,1959.6,1856.95,1991.6,439.35,1908.95,74.27 Cr.,3.89 Lakh,2.37 Lakh,301053.29,"69,242.26 Cr."
533278,COAL INDIA LTD.,476.7,10.3,2.21,15 Feb 24 | 04:01 PM,COALINDIA,A  / S&P BSE 100,10,"Oil, Gas & Consumable Fuels",466.4,469.9,481.2,467.75,481.2,207.7,475.42,53.53 Cr.,11.26 Lakh,9.23 Lakh,293777.26,"1,08,697.59 Cr."
500820,ASIAN PAINTS LTD.,3015.7,39.35,1.32,15 Feb 24 | 04:01 PM,ASIANPAINT,A  / S&P BSE SENSEX,1,Consumer Durables,2976.35,2982,3024,2968.5,3566.9,2701,2989.9,12.46 Cr.,0.42 Lakh,0.68 Lakh,289265.28,"1,35,954.68 Cr."
532538,ULTRATECH CEMENT LTD.,9820,23.2,0.24,15 Feb 24 | 04:01 PM,ULTRACEMCO,A  / S&P BSE SENSEX,10,Construction Materials,9796.8,9849.95,9849.95,9707,10522.65,6991.35,9757.51,4.06 Cr.,0.04 Lakh,0.09 Lakh,283491.3,"1,13,396.52 Cr."
