SecurityCode,companyName
543384,FSN E-Commerce Ventures Ltd
543237,Mazagon Dock Shipbuilders Ltd
500109,MANGALORE REFINERY & PETROCHEMICALS LTD.
533519,L&T FINANCE HOLDINGS LTD.
543390,PB Fintech Ltd
590071,SUNDARAM FINANCE LTD.
532522,PETRONET LNG LTD.
500411,THERMAX LTD.
532541,Coforge Ltd
540769,The New India Assurance Company Ltd
540530,Housing & Urban Development Corporation Ltd
543278,Kalyan Jewellers India Ltd
532827,PAGE INDUSTRIES LTD.
539336,Gujarat Gas Ltd
532947,IRB INFRASTRUCTURE DEVELOPERS LTD.
533758,APL APOLLO TUBES LTD.
540611,AU Small Finance Bank Ltd
542812,Gujarat Fluorochemicals Ltd
542216,Dalmia Bharat Ltd
500469,FEDERAL BANK LTD.
540699,Dixon Technologies (India) Ltd
524000,Poonawalla Fincorp Ltd
543654,Global Health Ltd
500660,GLAXOSMITHKLINE PHARMACEUTICALS LTD.
512070,UPL Limited
532683,AIA ENGINEERING LTD.
500575,VOLTAS LTD.
543300,Sona BLW Precision Forgings Ltd
513683,NLC India Ltd
532720,MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD.
500253,LIC HOUSING FINANCE LTD.
532539,UNO Minda Ltd-$
523395,3M INDIA LTD.
543529,Delhivery Ltd
517174,HONEYWELL AUTOMATION INDIA LTD.
500092,CRISIL LTD.
500877,APOLLO TYRES LTD.
532523,BIOCON LTD.
532843,FORTIS HEALTHCARE LTD.
500271,Max Financial Services Ltd
543412,Star Health and Allied Insurance Company Ltd
506395,COROMANDEL INTERNATIONAL LTD.
500495,Escorts Kubota Ltd
532644,J.K.CEMENT LTD.
541153,Bandhan Bank Ltd
533155,Jubilant FoodWorks Ltd
543245,Gland Pharma Ltd
543498,Motherson Sumi Wiring India Ltd
532514,INDRAPRASTHA GAS LTD.
506401,DEEPAK NITRITE LTD.-$
570001,Tata Motors  Ltd - DVR
540767,Nippon Life India Asset Management Ltd
540680,KIOCL Ltd
541143,Bharat Dynamics Ltd
539268,Syngene International Ltd
523610,ITI LTD.
517569,KEI INDUSTRIES LTD.
543426,Metro Brands Ltd
524494,IPCA LABORATORIES LTD.
532234,NATIONAL ALUMINIUM CO.LTD.
533023,ZF Commercial Vehicle Control Systems India Ltd
500086,EXIDE INDUSTRIES LTD.
512455,LLOYDS METALS AND ENERGY LTD.
501301,TATA INVESTMENT CORPORATION LTD.
539551,Narayana Hrudayalaya Ltd
500164,GODREJ INDUSTRIES LTD.
543235,Angel One Ltd
532892,MOTILAL OSWAL FINANCIAL SERVICES LTD.
532331,AJANTA PHARMA LTD.
541179,ICICI Securities Ltd
506285,BAYER CROPSCIENCE LTD.
506943,J.B.CHEMICALS & PHARMACEUTICALS LTD.
500840,EIH LTD.
542772,360 ONE WAM LTD
500067,BLUE STAR LTD.
540153,Endurance Technologies Ltd
532889,K.P.R. Mill Limited
543187,Hitachi Energy India Ltd
513599,HINDUSTAN COPPER LTD.
541770,CreditAccess Grameen Ltd
524208,AARTI INDUSTRIES LTD.
531531,HATSUN AGRO PRODUCT LTD.
534309,NBCC (India) Ltd
500165,KANSAI NEROLAC PAINTS LTD.
500770,TATA CHEMICALS LTD.
532259,APAR INDUSTRIES LTD.
532733,SUN TV NETWORK LTD.
506076,GRINDWELL NORTON LTD.-$
532605,JBM AUTO LTD.
540975,Aster DM Healthcare Ltd
532400,Birlasoft Ltd
532175,Cyient Limited
543463,Vedant Fashions Ltd
532497,RADICO KHAITAN LTD.
532296,GLENMARK PHARMACEUTICALS LTD.
532221,SONATA SOFTWARE LTD.
532929,BRIGADE ENTERPRISES LTD.
540678,Cochin Shipyard Ltd
535755,Aditya Birla Fashion and Retail Ltd
500403,SUNDRAM FASTENERS LTD.
543663,Five-Star Business Finance Ltd
500472,SKF India Ltd
521064,TRIDENT LTD.
532636,IIFL Finance Ltd
507815,GILLETTE INDIA LTD.
541956,IRCON International Ltd
522113,TIMKEN INDIA LTD.
540222,Laurus Labs Ltd
513375,CARBORUNDUM UNIVERSAL LTD.
532702,GUJARAT STATE PETRONET LTD.
520111,RATNAMANI METALS & TUBES LTD.-$
530517,RELAXO FOOTWEARS LTD.-$
500680,PFIZER LTD.
522275,GE T&D India Ltd
543396,One 97 Communications Ltd
531162,EMAMI LTD.-$
500260,The Ramco Cements Limited
504973,Cholamandalam Financial Holdings Ltd
522074,ELGI EQUIPMENTS LTD.
500674,Sanofi India Ltd
540173,PNB Housing Finance Ltd
539524,Dr. Lal PathLabs Ltd
500233,KAJARIA CERAMICS LTD.
500302,PIRAMAL ENTERPRISES LTD.
533573,ALEMBIC PHARMACEUTICALS LTD.
500870,CASTROL INDIA LTD.
531595,Capri Global Capital Limited
503310,SWAN ENERGY LTD.
543768,NMDC Steel Ltd
543990,Signatureglobal (India) Ltd
542920,Sumitomo Chemical India Ltd
539083,Inox Wind Ltd
500027,ATUL LTD.
541556,RITES Ltd
543299,Shyam Metalics and Energy Ltd
532659,IDFC LIMITED
532756,CIE Automotive India Ltd
543330,Devyani International Ltd
500043,BATA INDIA LTD.
539876,Crompton Greaves Consumer Electricals Ltd
532371,TATA TELESERVICES (MAHARASHTRA) LTD.
505537,ZEE ENTERTAINMENT ENTERPRISES LTD.
543635,Piramal Pharma Ltd
543308,Krishna Institute of Medical Sciences Ltd
543335,Aptus Value Housing Finance India Ltd
543664,Kaynes Technology India Ltd
532714,KEC INTERNATIONAL LTD.
500084,CESC LTD.
534091,MULTI COMMODITY EXCHANGE OF INDIA LTD.
544012,Cello World Ltd
542399,Chalet Hotels Ltd
520056,TVS Holdings Ltd
532926,Jyothy Labs Ltd
524200,VINATI ORGANICS LTD.-$
500238,WHIRLPOOL OF INDIA LTD.
532548,CENTURY PLYBOARDS (I) LTD.-$
543064,Suven Pharmaceuticals Ltd
543981,R R Kabel Ltd
542752,Affle (India) Ltd
532439,Olectra Greentech Ltd
500378,JINDAL SAW LTD.
542726,IndiaMART InterMESH Ltd
500040,CENTURY TEXTILES & INDUSTRIES LTD.
524816,NATCO PHARMA LTD.
500184,Himadri Speciality Chemical Ltd
532209,JAMMU & KASHMIR BANK LTD.
531213,MANAPPURAM FINANCE LTD.
532805,Redington Ltd
522287,Kalpataru Projects International Ltd
540065,RBL Bank Ltd
532976,JAI BALAJI INDUSTRIES LTD.
517271,HBL POWER SYSTEMS LTD.-$
532504,Navin Fluorine International Limited-$
500144,FINOLEX CABLES LTD.
523367,DCM Shriram Limited
533272,Jupiter Wagons Ltd
