SecurityCode,companyName,day1,day2,day3,day4,day5,Highest_Value,Lowest_Value,Lowest_Column_Name,Highest_Column_Name
500125,E.I.D.-PARRY (INDIA) LTD.,604.7,603.45,603.55,603.95,606.55,606.55,603.45,day2,day5
500126,Procter & Gamble Health Ltd,5046.1,5046.1,5071,5069.15,5069.15,5071,5046.1,day1,day3
500128,ELECTROSTEEL CASTINGS LTD.,180.05,182.55,181.95,181.65,181.05,182.55,180.05,day1,day2
500133,ESAB INDIA LTD.,5343.4,5351.5,5351.5,5354,5354,5354,5343.4,day1,day4
500135,EPL Ltd,195.4,194.15,194.6,194.7,195.75,195.75,194.15,day2,day5
500136,ESTER INDUSTRIES LTD.,98.15,97.2,97.14,97.32,102,102,97.14,day3,day5
500142,FGP LTD.,6.62,6.62,6.62,6.62,6.62,6.62,6.62,day1,day1
500143,PH CAPITAL LTD.,165.7,165.7,165.7,165.7,165.7,165.7,165.7,day1,day1
500144,FINOLEX CABLES LTD.,993.9,996.55,997,997.9,999,999,993.9,day1,day5
500147,John Cockerill India Ltd-$,3439,3490.9,3494,3415,3449,3494,3415,day4,day3
500148,UFLEX LTD.,433,431.95,431.6,433,432.95,433,431.6,day3,day1
500150,FOSECO INDIA LTD.,3758,3747,3748,3760.4,3760.4,3760.4,3747,day2,day4
500151,GOLDEN TOBACCO LTD.,54.83,54.83,54.8,54.05,54.05,54.83,54.05,day4,day1
500153,GANESH BENZOPLAST LTD.,194.55,195.7,194.75,193.3,193.5,195.7,193.3,day4,day2
500159,Metroglobal Limited,156.5,156.65,156.65,155.05,153.5,156.65,153.5,day5,day2
500160,GTL LTD.,14.34,14.34,14.34,14.34,14.34,14.34,14.34,day1,day1
500163,GODFREY PHILLIPS INDIA LTD.,2661.7,2665.85,2666,2652.15,2660.1,2666,2652.15,day4,day3
500164,GODREJ INDUSTRIES LTD.,807.45,807.2,805.85,807.2,806.25,807.45,805.85,day3,day1
500165,KANSAI NEROLAC PAINTS LTD.,307.65,307.45,306,304.9,305,307.65,304.9,day4,day1
500166,GOODRICKE GROUP LTD.,184.5,186,186,186,186.5,186.5,184.5,day1,day5
500168,GOODYEAR INDIA LTD.,1314.1,1308,1310.9,1310.9,1303.9,1314.1,1303.9,day5,day1
500170,GTN INDUSTRIES LTD.,42.8,42.9,42.9,42.9,42.85,42.9,42.8,day1,day2
500171,GHCL LTD.,516.4,516.5,518,518.5,520,520,516.4,day1,day5
500173,GFL Ltd,86.9,86.65,86.8,86.8,87,87,86.65,day2,day5
500174,GUJARAT LEASE FINANCING LTD.,9.3,9.3,9.3,9.3,9.3,9.3,9.3,day1,day1
500179,HCL INFOSYSTEMS LTD.,19.1,19.5,19.11,19.65,19.3,19.65,19.1,day1,day4
500180,HDFC Bank Ltd,1421.85,1422.2,1421.2,1421.05,1420.15,1422.2,1420.15,day5,day2
500182,HERO MOTOCORP LTD.,4914,4892,4901.25,4893.1,4900,4914,4892,day2,day1
500183,HFCL Ltd,100.7,100.55,100.65,105.1,104.95,105.1,100.55,day2,day4
500184,Himadri Speciality Chemical Ltd,365.7,366.95,365.55,362,367,367,362,day4,day5
500185,HINDUSTAN CONSTRUCTION CO.LTD.,44.19,44.03,44.09,43.91,43.91,44.19,43.91,day4,day1
500186,HINDUSTAN OIL EXPLORATION CO.LTD.,206,205.5,205.75,206.75,206.6,206.75,205.5,day2,day4
500187,Agi Greenpac Ltd,770.4,769,769.55,781.35,797.15,797.15,769,day2,day5
500188,HINDUSTAN ZINC LTD.,313.95,313.95,314,314.4,313.85,314.4,313.85,day5,day4
500189,NDL Ventures Ltd,111.25,111.25,111.25,111.25,112.35,112.35,111.25,day1,day5
500191,HMT LTD.,62,61.9,61.85,62,61.95,62,61.85,day3,day1
500192,PRAG BOSIMI SYNTHETICS LTD.,3.94,3.98,3.98,3.92,3.92,3.98,3.92,day4,day2
500193,HLV Ltd,36.08,36.16,35.88,35.81,35.68,36.16,35.68,day5,day2
500199,I G PETROCHEMICALS LTD.,463,462.95,462.95,463,461.1,463,461.1,day5,day1
500201,INDIA GLYCOLS LTD.,876.7,872.05,873.8,876.7,876.85,876.85,872.05,day2,day5
500202,INDIA LEASE DEVELOPMENT LTD.,10.5,10.5,10.5,10.5,10.5,10.5,10.5,day1,day1
500206,Margo Finance Limited,49.03,49.03,49.03,49.03,49.03,49.03,49.03,day1,day1
500207,INDO RAMA SYNTHETICS (INDIA) LTD.,52.62,52.69,52.56,52.15,52.35,52.69,52.15,day4,day2
500209,INFOSYS LTD.,1695.8,1699.35,1703.2,1705.95,1706.7,1706.7,1695.8,day1,day5
500210,INGERSOLL-RAND (INDIA) LTD.,3516.3,3518,3510.7,3511.2,3501.8,3518,3501.8,day5,day2
500213,INTERNATIONAL TRAVEL HOUSE LTD.-$,628.9,629,625.5,625,622,629,622,day5,day2
500214,ION EXCHANGE (INDIA) LTD.-$,496.25,493.75,492.55,493.55,491.65,496.25,491.65,day5,day1
500215,AGRO TECH FOODS LTD.,869.15,869.15,875.5,875.5,875.5,875.5,869.15,day1,day3
500219,JAIN IRRIGATION SYSTEMS LTD.,60.96,60.7,60.68,60.63,60.71,60.96,60.63,day4,day1
500220,JASCH INDUSTRIES LTD.,250.2,250.2,250.2,250.2,250.2,250.2,250.2,day1,day1
500223,JCT LTD.,4.24,4.24,4.24,4.24,4.24,4.24,4.24,day1,day1
500227,JINDAL POLY FILMS LTD.,607.9,607.9,606.95,604.05,604.05,607.9,604.05,day4,day1
500228,JSW STEEL LTD.,820.35,820,822,823.4,822.8,823.4,820,day2,day4
500231,UMANG DAIRIES LTD.,82.55,82.4,82.33,82.49,83.2,83.2,82.33,day3,day5
500233,KAJARIA CERAMICS LTD.,1281.8,1285.25,1282.75,1282.15,1282.2,1285.25,1281.8,day1,day2
500234,KAKATIYA CEMENT SUGAR & INDUSTRIES LTD.,233.25,233,233,233.65,233.65,233.65,233,day2,day4
500235,KALYANI STEELS LTD.,809.2,807.9,810.85,810.15,810.05,810.85,807.9,day2,day3
500238,WHIRLPOOL OF INDIA LTD.,1330.65,1330.5,1329,1332,1329.1,1332,1329,day3,day4
500239,KG DENIM LTD.,34.01,34.39,34,34.36,34.36,34.39,34,day3,day2
500240,KINETIC ENGINEERING LTD.,187,186,189.35,189,186.2,189.35,186,day2,day3
500241,KIRLOSKAR BROTHERS LTD.-$,910.45,911.65,905.8,907.4,906.9,911.65,905.8,day3,day2
500243,Kirloskar Industries Ltd,4218.55,4197.6,4197.6,4197.6,4177.75,4218.55,4177.75,day5,day1
500245,KIRLOSKAR FERROUS INDUSTRIES LTD.,598,594.25,597.95,602.75,602.9,602.9,594.25,day2,day5
500246,ENVAIR ELECTRODYNE LTD.,180.75,180.75,180.75,180.75,180.75,180.75,180.75,day1,day1
500247,KOTAK MAHINDRA BANK LTD.,1741,1739.5,1741.6,1739.8,1737.4,1741.6,1737.4,day5,day3
500248,Krishna Filament Industries Ltd,4.95,4.95,4.95,4.95,4.95,4.95,4.95,day1,day1
