SecurityCode,companyName,Feb16
532725,SOLAR INDUSTRIES INDIA LTD.,59897.18
532885,CENTRAL BANK OF INDIA,58153.61
539437,IDFC First Bank Ltd,58078.49
540115,L&T Technology Services Ltd,57590.74
532779,TORRENT POWER LTD.,56700.77
523642,PI Industries Ltd,55595.59
532754,GMR Airports Infrastructure Ltd,55578.98
542649,Rail Vikas Nigam Ltd,55492.81
533398,MUTHOOT FINANCE LTD.,54435.83
590024,FERTILIZERS & CHEMICALS TRAVANCORE LTD.,53791.09
500459,PROCTER & GAMBLE HYGIENE & HEALTH CARE LTD.,53612.96
500113,STEEL AUTHORITY OF INDIA LTD.,52968.43
532830,Astral Ltd,52855.05
526299,MPHASIS LTD.,52494.54
500493,BHARAT FORGE LTD.,52352.57
532508,JINDAL STAINLESS LTD.,52312.8
500483,TATA COMMUNICATIONS LTD.,51730.35
509930,SUPREME INDUSTRIES LTD.,51565.29
500477,ASHOK LEYLAND LTD.,50545.43
500109,MANGALORE REFINERY & PETROCHEMICALS LTD.,50369.69
500410,ACC LTD.,50132.63
503100,The Phoenix Mills Ltd,49733.91
533206,SJVN Ltd,49613.66
523457,Linde India Limited,49296.41
543994,JSW Infrastructure Ltd,48909.04
540769,The New India Assurance Company Ltd,48772.56
500408,TATA ELXSI LTD.,48000.19
540691,Aditya Birla Capital Ltd,47964.88
544026,Indian Renewable Energy Development Agency Ltd,47922.84
543458,Adani Wilmar Ltd,47620.22
533273,OBEROI REALTY LTD.,47281.02
505790,Schaeffler India Ltd,47139.62
532478,UNITED BREWERIES LTD.-$,46703.2
533274,PRESTIGE ESTATES PROJECTS LTD.,46640.25
533295,PUNJAB & SIND BANK,45844.95
544028,Tata Technologies Ltd,45570.77
543390,PB Fintech Ltd,45282.78
590071,SUNDARAM FINANCE LTD.,45018.17
502355,BALKRISHNA INDUSTRIES LTD.-$,44893.08
542651,KPIT Technologies Ltd,44730.67
532525,BANK OF MAHARASHTRA,43883.27
543384,FSN E-Commerce Ventures Ltd,43800.78
543237,Mazagon Dock Shipbuilders Ltd,43655.8
533519,L&T FINANCE HOLDINGS LTD.,43618.68
532522,PETRONET LNG LTD.,42412.5
532541,Coforge Ltd,41728.84
500411,THERMAX LTD.,41528.95
532827,PAGE INDUSTRIES LTD.,40887.98
540699,Dixon Technologies (India) Ltd,40388.26
532947,IRB INFRASTRUCTURE DEVELOPERS LTD.,40147.27
540611,AU Small Finance Bank Ltd,40005.74
533758,APL APOLLO TUBES LTD.,39720.7
500469,FEDERAL BANK LTD.,39664.91
542216,Dalmia Bharat Ltd,39410.32
540530,Housing & Urban Development Corporation Ltd,38626.66
543278,Kalyan Jewellers India Ltd,38539.44
500660,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,38211.23
542812,Gujarat Fluorochemicals Ltd,38203.63
512070,UPL Limited,38011.26
539336,Gujarat Gas Ltd,37944.06
543654,Global Health Ltd,37444.28
532539,UNO Minda Ltd-$,37018.45
532683,AIA ENGINEERING LTD.,36995.75
500092,CRISIL LTD.,36845.24
524000,Poonawalla Fincorp Ltd,36396.35
500575,VOLTAS LTD.,36324.53
543300,Sona BLW Precision Forgings Ltd,36013.39
532720,MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD.,35663.57
532523,BIOCON LTD.,34907.45
500253,LIC HOUSING FINANCE LTD.,34885
513683,NLC India Ltd,34873.91
523395,3M INDIA LTD.,34832.33
543529,Delhivery Ltd,34445.78
500271,Max Financial Services Ltd,33833.33
500877,APOLLO TYRES LTD.,33768.32
517174,HONEYWELL AUTOMATION INDIA LTD.,33604.06
540680,KIOCL Ltd,33526.59
543245,Gland Pharma Ltd,32960.15
543412,Star Health and Allied Insurance Company Ltd,32953.23
541153,Bandhan Bank Ltd,32830.51
532843,FORTIS HEALTHCARE LTD.,32719.89
500495,Escorts Kubota Ltd,32714.12
533155,Jubilant FoodWorks Ltd,32695.33
532644,J.K.CEMENT LTD.,32513.54
506395,COROMANDEL INTERNATIONAL LTD.,32512.4
541143,Bharat Dynamics Ltd,32320.73
543498,Motherson Sumi Wiring India Ltd,32313.88
543426,Metro Brands Ltd,32035.21
540767,Nippon Life India Asset Management Ltd,32016.85
523610,ITI LTD.,31445.03
570001,Tata Motors  Ltd - DVR,31168.69
506401,DEEPAK NITRITE LTD.-$,31127.62
524494,IPCA LABORATORIES LTD.,31116.13
532514,INDRAPRASTHA GAS LTD.,30796.54
539268,Syngene International Ltd,30645.6
517569,KEI INDUSTRIES LTD.,29568.06
532234,NATIONAL ALUMINIUM CO.LTD.,29358.56
512455,LLOYDS METALS AND ENERGY LTD.,29105.13
501301,TATA INVESTMENT CORPORATION LTD.,28931.91
533023,ZF Commercial Vehicle Control Systems India Ltd,28656.23
500086,EXIDE INDUSTRIES LTD.,28628
532605,JBM AUTO LTD.,28146.36
539551,Narayana Hrudayalaya Ltd,27606.08
506285,BAYER CROPSCIENCE LTD.,27488.38
500164,GODREJ INDUSTRIES LTD.,27127.17
543235,Angel One Ltd,27121.44
532331,AJANTA PHARMA LTD.,26966.1
543187,Hitachi Energy India Ltd,26316.27
500067,BLUE STAR LTD.,26105.88
532892,MOTILAL OSWAL FINANCIAL SERVICES LTD.,26063.41
506943,J.B.CHEMICALS & PHARMACEUTICALS LTD.,25658.15
540153,Endurance Technologies Ltd,25588.68
534309,NBCC (India) Ltd,25434
541179,ICICI Securities Ltd,25392.24
500840,EIH LTD.,25299.11
